# Rehearsal Report

Total slides: 9 | With notes: 9 | Silent: 0
Estimated time: 1:21 (1.4 min)
Time limit: 8:00 (8 min)
OK 富余 6:38

Slide    Time       Chars  Note Preview
----------------------------------------------------------------------
S1     0:10       90     各位评委老师好，我是XX大学的XXX，今天为大家带来我们的项目——智能学伴，一个基于大语言模型的个性化学习助手。我们的团队来自计算机学院和教育学院，致力于解决教...
S2     0:10       91     全国有2.9亿在校生，但教学资源分配严重不均。同一个班级里，有的学生吃不饱，有的跟不上。核心痛点有三个：学生错题反复错、教师批改占去40%时间、家长辅导焦虑。这...
S3     0:10       89     我们的方案是AI学伴。三大核心功能：第一，错题智能归因，不只给答案，而是定位概念薄弱点。第二，自适应练习，根据掌握度动态调整难度。第三，学情可视化，让家长和教师...
S4     0:09       84     技术层面，我们用RAG加知识图谱构建学科知识点关联网络，用IRT项目反应理论做自适应难度调节，加上多模态理解实现拍照识题和手写公式识别。这三个技术组合是我们的核...
S5     0:08       88     商业模式采用双轨制。To C面向个人用户，免费基础功能加会员增值，每月29元。To B面向学校和机构，SaaS部署按学生数计费。目前已经签约3所试点学校，覆盖5...
S6     0:10       94     市场方面，K12智能教育市场规模2026年预计达到1200亿元。我们的目标用户是一二线城市初中和高中学生家庭。与竞品相比，学而思是题库型，作业帮是搜题型，我们聚...
S7     0:08       82     我们团队由三人组成。CEO有三年AI教育产品经验，CTO来自NLP实验室发表了5篇SCI论文，教育顾问是特级教师有30年教学经验。技术和教育的跨界组合是我们的优...
S8     0:06       64     财务方面，我们已完成种子轮500万融资。目前月活用户2万，付费转化率8%。接下来12个月的目标是覆盖50所学校，月活达到10万。
S9     0:06       58     以上就是我们的项目介绍。智能学伴让每个学生都有自己的AI老师，让教育真正做到因材施教。感谢各位评委的聆听，欢迎提问。
